sent,tags,parse
"In the case of a labor reeenactment doctrine , the claim will be that the labor present in the service or invested in the object that Sally offers for the purpose of exchange combined with the labor Sally invests in arranging or participating in the exchange is the labor permissibly invested by her in her newly acquired holding .","In/IN the/DT case/NN of/IN a/DT labor/NN reeenactment/NN doctrine/NN ,/, the/DT claim/NN will/MD be/VB that/IN the/DT labor/NN present/JJ in/IN the/DT service/NN or/CC invested/VBN in/IN the/DT object/NN that/IN Sally/NNP offers/VBZ for/IN the/DT purpose/NN of/IN exchange/NN combined/VBN with/IN the/DT labor/NN Sally/NNP invests/VBZ in/IN arranging/VBG or/CC participating/VBG in/IN the/DT exchange/NN is/VBZ the/DT labor/NN permissibly/RB invested/VBN by/IN her/PRP in/IN her/PRP$ newly/RB acquired/VBN holding/NN ./.","case(case-3, In-1) det(case-3, the-2) nmod:in(be-13, case-3) case(doctrine-8, of-4) det(doctrine-8, a-5) compound(doctrine-8, labor-6) compound(doctrine-8, reeenactment-7) nmod:of(case-3, doctrine-8) det(claim-11, the-10) nsubj(be-13, claim-11) aux(be-13, will-12) root(ROOT-0, be-13) mark(labor-49, that-14) det(labor-16, the-15) nsubj(labor-49, labor-16) amod(labor-16, present-17) case(service-20, in-18) det(service-20, the-19) nmod:in(present-17, service-20) cc(present-17, or-21) amod(labor-16, invested-22) conj:or(present-17, invested-22) case(object-25, in-23) det(object-25, the-24) nmod:in(invested-22, object-25) mark(offers-28, that-26) nsubj(offers-28, Sally-27) ccomp(invested-22, offers-28) case(purpose-31, for-29) det(purpose-31, the-30) nmod:for(offers-28, purpose-31) case(exchange-33, of-32) nmod:of(purpose-31, exchange-33) case(labor-37, combined-34) case(labor-37, with-35) det(labor-37, the-36) advcl:with(offers-28, labor-37) nsubj(invests-39, Sally-38) acl:relcl(labor-37, invests-39) mark(arranging-41, in-40) advcl(invests-39, arranging-41) cc(arranging-41, or-42) advcl(invests-39, participating-43) conj:or(arranging-41, participating-43) case(exchange-46, in-44) det(exchange-46, the-45) nmod:in(arranging-41, exchange-46) cop(labor-49, is-47) det(labor-49, the-48) ccomp(be-13, labor-49) advmod(invested-51, permissibly-50) acl(labor-49, invested-51) case(her-53, by-52) nmod:by(invested-51, her-53) case(holding-58, in-54) nmod:poss(holding-58, her-55) advmod(acquired-57, newly-56) amod(holding-58, acquired-57) nmod:in(invested-51, holding-58)  "
"There are many study centers in Japan that will do every step of this process for the student , from getting the information to completing the application to arranging the visa .","There/EX are/VBP many/JJ study/NN centers/NNS in/IN Japan/NNP that/WDT will/MD do/VB every/DT step/NN of/IN this/DT process/NN for/IN the/DT student/NN ,/, from/IN getting/VBG the/DT information/NN to/TO completing/VBG the/DT application/NN to/TO arranging/VBG the/DT visa/NN ./.","expl(are-2, There-1) root(ROOT-0, are-2) amod(centers-5, many-3) compound(centers-5, study-4) nsubj(are-2, centers-5) nsubj(do-10, centers-5) case(Japan-7, in-6) nmod:in(centers-5, Japan-7) ref(centers-5, that-8) aux(do-10, will-9) acl:relcl(centers-5, do-10) det(step-12, every-11) dobj(do-10, step-12) case(process-15, of-13) det(process-15, this-14) nmod:of(step-12, process-15) case(student-18, for-16) det(student-18, the-17) nmod:for(do-10, student-18) mark(getting-21, from-20) advcl(do-10, getting-21) det(information-23, the-22) dobj(getting-21, information-23) mark(completing-25, to-24) advcl(getting-21, completing-25) det(application-27, the-26) dobj(completing-25, application-27) mark(arranging-29, to-28) advcl(completing-25, arranging-29) det(visa-31, the-30) dobj(arranging-29, visa-31)  "
<p> The Protestant church played the crucial role in arranging for the Round Table discussions that helped to pave the way for the establishment of the new government as the old crumbled .,<p>/RB The/DT Protestant/JJ church/NN played/VBD the/DT crucial/JJ role/NN in/IN arranging/VBG for/IN the/DT Round/NNP Table/NNP discussions/NNS that/WDT helped/VBD to/TO pave/VB the/DT way/NN for/IN the/DT establishment/NN of/IN the/DT new/JJ government/NN as/IN the/DT old/JJ crumbled/NN ./.,"advmod(played-5, <p>-1) det(church-4, The-2) amod(church-4, Protestant-3) nsubj(played-5, church-4) root(ROOT-0, played-5) det(role-8, the-6) amod(role-8, crucial-7) dobj(played-5, role-8) mark(arranging-10, in-9) advcl(played-5, arranging-10) case(discussions-15, for-11) det(discussions-15, the-12) compound(discussions-15, Round-13) compound(discussions-15, Table-14) nmod:for(arranging-10, discussions-15) nsubj(helped-17, discussions-15) nsubj(pave-19, discussions-15) ref(discussions-15, that-16) acl:relcl(discussions-15, helped-17) mark(pave-19, to-18) xcomp(helped-17, pave-19) det(way-21, the-20) dobj(pave-19, way-21) case(establishment-24, for-22) det(establishment-24, the-23) nmod:for(way-21, establishment-24) case(government-28, of-25) det(government-28, the-26) amod(government-28, new-27) nmod:of(establishment-24, government-28) case(crumbled-32, as-29) det(crumbled-32, the-30) amod(crumbled-32, old-31) nmod:as(pave-19, crumbled-32)  "
"When white traders first appeared among the Creeks , the village headman often cemented his friendship with the trader by arranging a marriage to his niece or other female relative .","When/WRB white/JJ traders/NNS first/RB appeared/VBD among/IN the/DT Creeks/NNPS ,/, the/DT village/NN headman/NN often/RB cemented/VBD his/PRP$ friendship/NN with/IN the/DT trader/NN by/IN arranging/VBG a/DT marriage/NN to/TO his/PRP$ niece/JJ or/CC other/JJ female/JJ relative/NN ./.","advmod(appeared-5, When-1) amod(traders-3, white-2) nsubj(appeared-5, traders-3) advmod(appeared-5, first-4) advcl(cemented-14, appeared-5) case(Creeks-8, among-6) det(Creeks-8, the-7) nmod:among(appeared-5, Creeks-8) det(headman-12, the-10) compound(headman-12, village-11) nsubj(cemented-14, headman-12) advmod(cemented-14, often-13) root(ROOT-0, cemented-14) nmod:poss(friendship-16, his-15) dobj(cemented-14, friendship-16) case(trader-19, with-17) det(trader-19, the-18) nmod:with(cemented-14, trader-19) mark(arranging-21, by-20) advcl(cemented-14, arranging-21) det(marriage-23, a-22) dobj(arranging-21, marriage-23) case(relative-30, to-24) nmod:poss(relative-30, his-25) amod(relative-30, niece-26) cc(niece-26, or-27) conj:or(niece-26, other-28) amod(relative-30, other-28) amod(relative-30, female-29) nmod:to(arranging-21, relative-30)  "
"( a ) providing beginners with frequent and varied opportunities to systematically observe other people teaching , ( b ) putting beginners in closely supervised teaching situations early and continuing to provide a variety of practice opportunities , ( c ) concentrating on a limited number of behaviors at a time when practicing teaching skills , and ( d ) arranging teaching situations to maximize the opportunities for success .","-LRB-/-LRB- a/DT -RRB-/-RRB- providing/VB beginners/NNS with/IN frequent/JJ and/CC varied/JJ opportunities/NNS to/TO systematically/RB observe/VB other/JJ people/NNS teaching/NN ,/, -LRB-/-LRB- b/SYM -RRB-/-RRB- putting/VBG beginners/NNS in/IN closely/RB supervised/JJ teaching/NN situations/NNS early/RB and/CC continuing/VBG to/TO provide/VB a/DT variety/NN of/IN practice/NN opportunities/NNS ,/, -LRB-/-LRB- c/SYM -RRB-/-RRB- concentrating/VBG on/IN a/DT limited/JJ number/NN of/IN behaviors/NNS at/IN a/DT time/NN when/WRB practicing/VBG teaching/NN skills/NNS ,/, and/CC -LRB-/-LRB- d/LS -RRB-/-RRB- arranging/VB teaching/NN situations/NNS to/TO maximize/VB the/DT opportunities/NNS for/IN success/NN ./.","dep(providing-4, a-2) root(ROOT-0, providing-4) dobj(providing-4, beginners-5) case(opportunities-10, with-6) amod(opportunities-10, frequent-7) cc(frequent-7, and-8) conj:and(frequent-7, varied-9) amod(opportunities-10, varied-9) nmod:with(beginners-5, opportunities-10) mark(observe-13, to-11) advmod(observe-13, systematically-12) advcl(providing-4, observe-13) amod(people-15, other-14) dobj(observe-13, people-15) dep(people-15, teaching-16) dep(people-15, b-19) dep(people-15, putting-21) dobj(putting-21, beginners-22) case(situations-27, in-23) advmod(supervised-25, closely-24) amod(situations-27, supervised-25) compound(situations-27, teaching-26) nmod:in(beginners-22, situations-27) advmod(putting-21, early-28) cc(putting-21, and-29) dep(people-15, continuing-30) conj:and(putting-21, continuing-30) mark(provide-32, to-31) xcomp(continuing-30, provide-32) det(variety-34, a-33) dobj(provide-32, variety-34) case(opportunities-37, of-35) compound(opportunities-37, practice-36) nmod:of(variety-34, opportunities-37) dep(variety-34, c-40) xcomp(provide-32, concentrating-42) case(number-46, on-43) det(number-46, a-44) amod(number-46, limited-45) nmod:on(concentrating-42, number-46) case(behaviors-48, of-47) nmod:of(number-46, behaviors-48) case(time-51, at-49) det(time-51, a-50) nmod:at(behaviors-48, time-51) advmod(practicing-53, when-52) advcl(concentrating-42, practicing-53) compound(skills-55, teaching-54) dobj(practicing-53, skills-55) cc(providing-4, and-57) dep(arranging-61, d-59) conj:and(providing-4, arranging-61) compound(situations-63, teaching-62) dobj(arranging-61, situations-63) mark(maximize-65, to-64) advcl(arranging-61, maximize-65) det(opportunities-67, the-66) dobj(maximize-65, opportunities-67) case(success-69, for-68) nmod:for(maximize-65, success-69)  "
<p> Perhaps the most difficult element of a good induction program to work out with a school district is the arranging of release time for both the new teacher and his/her mentor .,<p>/NN Perhaps/RB the/DT most/RBS difficult/JJ element/NN of/IN a/DT good/JJ induction/NN program/NN to/TO work/VB out/RP with/IN a/DT school/NN district/NN is/VBZ the/DT arranging/NN of/IN release/NN time/NN for/IN both/PDT the/DT new/JJ teacher/NN and/CC his/her/NN mentor/NN ./.,"nsubj(arranging-21, <p>-1) advmod(arranging-21, Perhaps-2) det(element-6, the-3) advmod(difficult-5, most-4) amod(element-6, difficult-5) nsubj(arranging-21, element-6) case(program-11, of-7) det(program-11, a-8) amod(program-11, good-9) compound(program-11, induction-10) nmod:of(element-6, program-11) mark(work-13, to-12) acl(element-6, work-13) compound:prt(work-13, out-14) case(district-18, with-15) det(district-18, a-16) compound(district-18, school-17) nmod:with(work-13, district-18) cop(arranging-21, is-19) det(arranging-21, the-20) root(ROOT-0, arranging-21) case(time-24, of-22) compound(time-24, release-23) nmod:of(arranging-21, time-24) case(teacher-29, for-25) cc:preconj(teacher-29, both-26) det(teacher-29, the-27) amod(teacher-29, new-28) nmod:for(time-24, teacher-29) cc(teacher-29, and-30) compound(mentor-32, his/her-31) nmod:for(time-24, mentor-32) conj:and(teacher-29, mentor-32)  "
"In particular , arranging transportation in the US interstate gas industry involves "" chaotic monthly nominations to pipeline transport controllers . ""","In/IN particular/JJ ,/, arranging/VBG transportation/NN in/IN the/DT US/NNP interstate/JJ gas/NN industry/NN involves/VBD ''/'' chaotic/JJ monthly/JJ nominations/NNS to/TO pipeline/NN transport/NN controllers/NNS ./. ''/''","case(particular-2, In-1) advcl:in(involves-12, particular-2) csubj(involves-12, arranging-4) dobj(arranging-4, transportation-5) case(industry-11, in-6) det(industry-11, the-7) compound(industry-11, US-8) amod(industry-11, interstate-9) compound(industry-11, gas-10) nmod:in(arranging-4, industry-11) root(ROOT-0, involves-12) amod(nominations-16, chaotic-14) amod(nominations-16, monthly-15) dobj(involves-12, nominations-16) case(controllers-20, to-17) compound(controllers-20, pipeline-18) compound(controllers-20, transport-19) nmod:to(involves-12, controllers-20)  "
"The hospital social workers spent significantly more time with psychosocial problems specifically related to physical ailments : coping with disease , dealing with grief , and arranging for institutional placement .","The/DT hospital/NN social/JJ workers/NNS spent/VBD significantly/RB more/JJR time/NN with/IN psychosocial/JJ problems/NNS specifically/RB related/VBN to/TO physical/JJ ailments/NNS :/: coping/VBG with/IN disease/NN ,/, dealing/VBG with/IN grief/NNP ,/, and/CC arranging/VBG for/IN institutional/JJ placement/NN ./.","det(hospital-2, The-1) nsubj(spent-5, hospital-2) amod(workers-4, social-3) dep(hospital-2, workers-4) root(ROOT-0, spent-5) advmod(more-7, significantly-6) amod(time-8, more-7) dobj(spent-5, time-8) case(problems-11, with-9) amod(problems-11, psychosocial-10) nmod:with(spent-5, problems-11) advmod(related-13, specifically-12) acl(problems-11, related-13) case(ailments-16, to-14) amod(ailments-16, physical-15) nmod:to(related-13, ailments-16) parataxis(spent-5, coping-18) case(disease-20, with-19) nmod:with(coping-18, disease-20) parataxis(spent-5, dealing-22) conj:and(coping-18, dealing-22) case(grief-24, with-23) nmod:with(dealing-22, grief-24) cc(coping-18, and-26) parataxis(spent-5, arranging-27) conj:and(coping-18, arranging-27) case(placement-30, for-28) amod(placement-30, institutional-29) nmod:for(arranging-27, placement-30)  "
"A study of discharge planning found that social workers encounter many complications in working with patients , families , other professionals , and service providers in arranging posthospital care .","A/DT study/NN of/IN discharge/NN planning/NN found/VBD that/IN social/JJ workers/NNS encounter/VB many/JJ complications/NNS in/IN working/VBG with/IN patients/NNS ,/, families/NNS ,/, other/JJ professionals/NNS ,/, and/CC service/NN providers/NNS in/IN arranging/VBG posthospital/JJ care/NN ./.","det(study-2, A-1) nsubj(found-6, study-2) case(planning-5, of-3) compound(planning-5, discharge-4) nmod:of(study-2, planning-5) root(ROOT-0, found-6) mark(encounter-10, that-7) amod(workers-9, social-8) nsubj(encounter-10, workers-9) ccomp(found-6, encounter-10) amod(complications-12, many-11) dobj(encounter-10, complications-12) mark(working-14, in-13) advcl(encounter-10, working-14) case(patients-16, with-15) nmod:with(working-14, patients-16) nmod:with(working-14, families-18) conj:and(patients-16, families-18) amod(professionals-21, other-20) nmod:with(working-14, professionals-21) conj:and(patients-16, professionals-21) cc(patients-16, and-23) compound(providers-25, service-24) nmod:with(working-14, providers-25) conj:and(patients-16, providers-25) mark(arranging-27, in-26) advcl(working-14, arranging-27) amod(care-29, posthospital-28) dobj(arranging-27, care-29)  "
"<p> Although discharge planning historically has been part of hospital social work ( Kerson , 1985 ) , few studies have addressed the problems that arise in arranging posthospital care plans or the impact of these problems on the efficiency and effectiveness of discharge planning .","<p>/RB Although/IN discharge/NN planning/NN historically/RB has/VBZ been/VBN part/NN of/IN hospital/NN social/JJ work/NN -LRB-/-LRB- Kerson/NNP ,/, 1985/CD -RRB-/-RRB- ,/, few/JJ studies/NNS have/VBP addressed/VBN the/DT problems/NNS that/WDT arise/VBP in/IN arranging/VBG posthospital/JJ care/NN plans/NNS or/CC the/DT impact/NN of/IN these/DT problems/NNS on/IN the/DT efficiency/NN and/CC effectiveness/NN of/IN discharge/NN planning/NN ./.","advmod(part-8, <p>-1) mark(part-8, Although-2) compound(planning-4, discharge-3) nsubj(part-8, planning-4) advmod(part-8, historically-5) aux(part-8, has-6) cop(part-8, been-7) advcl(addressed-22, part-8) case(work-12, of-9) compound(work-12, hospital-10) amod(work-12, social-11) nmod:of(part-8, work-12) appos(work-12, Kerson-14) dep(Kerson-14, 1985-16) amod(studies-20, few-19) nsubj(addressed-22, studies-20) aux(addressed-22, have-21) root(ROOT-0, addressed-22) det(problems-24, the-23) dobj(addressed-22, problems-24) nsubj(arise-26, problems-24) ref(problems-24, that-25) acl:relcl(problems-24, arise-26) mark(arranging-28, in-27) advcl(arise-26, arranging-28) amod(plans-31, posthospital-29) compound(plans-31, care-30) dobj(arranging-28, plans-31) cc(problems-24, or-32) det(impact-34, the-33) dobj(addressed-22, impact-34) conj:or(problems-24, impact-34) nsubj(arise-26, impact-34) case(problems-37, of-35) det(problems-37, these-36) nmod:of(impact-34, problems-37) case(efficiency-40, on-38) det(efficiency-40, the-39) nmod:on(problems-37, efficiency-40) cc(efficiency-40, and-41) nmod:on(problems-37, effectiveness-42) conj:and(efficiency-40, effectiveness-42) case(planning-45, of-43) compound(planning-45, discharge-44) nmod:of(efficiency-40, planning-45)  "
