sent,tags,parse
"Shortly before his death , Toynbee had delivered a lecture criticizing Henry George 's "" Progress and Poverty . ""","Shortly/RB before/IN his/PRP$ death/NN ,/, Toynbee/NNP had/VBD delivered/VBN a/DT lecture/NN criticizing/VBG Henry/NNP George/NNP 's/POS ''/'' Progress/NN and/CC Poverty/NN ./. ''/''","advmod(death-4, Shortly-1) case(death-4, before-2) nmod:poss(death-4, his-3) nmod:before(delivered-8, death-4) nsubj(delivered-8, Toynbee-6) aux(delivered-8, had-7) root(ROOT-0, delivered-8) det(lecture-10, a-9) dobj(delivered-8, lecture-10) acl(lecture-10, criticizing-11) compound(George-13, Henry-12) nmod:poss(Progress-16, George-13) case(George-13, 's-14) dobj(criticizing-11, Progress-16) cc(Progress-16, and-17) dobj(criticizing-11, Poverty-18) conj:and(Progress-16, Poverty-18)  "
"It was a memorable moment for the student , who fifteen years later used this phrase in criticizing Eliot 's assertion that civilization depended on the Christian church .","It/PRP was/VBD a/DT memorable/JJ moment/NN for/IN the/DT student/NN ,/, who/WP fifteen/CD years/NNS later/RB used/VBD this/DT phrase/NN in/IN criticizing/VBG Eliot/NNP 's/POS assertion/NN that/IN civilization/NN depended/VBD on/IN the/DT Christian/JJ church/NN ./.","nsubj(moment-5, It-1) cop(moment-5, was-2) det(moment-5, a-3) amod(moment-5, memorable-4) root(ROOT-0, moment-5) case(student-8, for-6) det(student-8, the-7) nmod:for(moment-5, student-8) nsubj(used-14, student-8) ref(student-8, who-10) nummod(years-12, fifteen-11) nmod:npmod(later-13, years-12) advmod(used-14, later-13) acl:relcl(student-8, used-14) det(phrase-16, this-15) dobj(used-14, phrase-16) mark(criticizing-18, in-17) advcl(used-14, criticizing-18) nmod:poss(assertion-21, Eliot-19) case(Eliot-19, 's-20) dobj(criticizing-18, assertion-21) mark(depended-24, that-22) nsubj(depended-24, civilization-23) ccomp(criticizing-18, depended-24) case(church-28, on-25) det(church-28, the-26) amod(church-28, Christian-27) nmod:on(depended-24, church-28)  "
"That was the market leader among introductory logic texts -- Copi 's Introduction to Logic -- which offers a fully balanced approach , criticizing arguments for conservative and liberal conclusions equally often .","That/DT was/VBD the/DT market/NN leader/NN among/IN introductory/JJ logic/NN texts/NNS --/: Copi/NNP 's/POS Introduction/NNP to/TO Logic/NNP --/: which/WDT offers/VBZ a/DT fully/RB balanced/JJ approach/NN ,/, criticizing/VBG arguments/NNS for/IN conservative/JJ and/CC liberal/JJ conclusions/NNS equally/RB often/RB ./.","nsubj(leader-5, That-1) cop(leader-5, was-2) det(leader-5, the-3) compound(leader-5, market-4) root(ROOT-0, leader-5) nsubj(offers-18, leader-5) case(texts-9, among-6) amod(texts-9, introductory-7) compound(texts-9, logic-8) nmod:among(leader-5, texts-9) nmod:poss(Introduction-13, Copi-11) case(Copi-11, 's-12) dep(leader-5, Introduction-13) case(Logic-15, to-14) nmod:to(Introduction-13, Logic-15) ref(leader-5, which-17) acl:relcl(leader-5, offers-18) det(approach-22, a-19) advmod(approach-22, fully-20) amod(approach-22, balanced-21) dobj(offers-18, approach-22) advcl(offers-18, criticizing-24) dobj(criticizing-24, arguments-25) case(conclusions-30, for-26) amod(conclusions-30, conservative-27) cc(conservative-27, and-28) conj:and(conservative-27, liberal-29) amod(conclusions-30, liberal-29) nmod:for(arguments-25, conclusions-30) advmod(often-32, equally-31) advmod(criticizing-24, often-32)  "
"6 <p> Let us skip over such obvious points as that the cardinal may have refrained from criticizing the Vietnam War , not out of inconsistency , but for various prudential reasons , and address Kahane 's criticism of the cardinal 's logic .","6/CD <p>/NN Let/VBD us/PRP skip/VB over/IN such/JJ obvious/JJ points/NNS as/RB that/IN the/DT cardinal/NN may/MD have/VB refrained/VBN from/IN criticizing/VBG the/DT Vietnam/NNP War/NNP ,/, not/RB out/IN of/IN inconsistency/NN ,/, but/CC for/IN various/JJ prudential/JJ reasons/NNS ,/, and/CC address/NN Kahane/NNP 's/POS criticism/NN of/IN the/DT cardinal/NN 's/POS logic/NN ./.","nummod(<p>-2, 6-1) nsubj(Let-3, <p>-2) root(ROOT-0, Let-3) nsubj(skip-5, us-4) nsubj(skip-5', us-4) ccomp(Let-3, skip-5) ccomp(Let-3, skip-5') conj:but(skip-5, skip-5') case(points-9, over-6) amod(points-9, such-7) amod(points-9, obvious-8) nmod:over(skip-5, points-9) advmod(refrained-16, as-10) mark(refrained-16, that-11) det(cardinal-13, the-12) nsubj(refrained-16, cardinal-13) aux(refrained-16, may-14) aux(refrained-16, have-15) dep(skip-5, refrained-16) mark(criticizing-18, from-17) advcl(refrained-16, criticizing-18) det(War-21, the-19) compound(War-21, Vietnam-20) dobj(criticizing-18, War-21) neg(inconsistency-26, not-23) case(inconsistency-26, out-24) mwe(out-24, of-25) nmod:out_of(skip-5, inconsistency-26) cc(skip-5, but-28) case(reasons-32, for-29) amod(reasons-32, various-30) amod(reasons-32, prudential-31) nmod:for(skip-5', reasons-32) cc(Let-3, and-34) conj:and(Let-3, address-35) nmod:poss(criticism-38, Kahane-36) case(Kahane-36, 's-37) dobj(address-35, criticism-38) case(logic-43, of-39) det(cardinal-41, the-40) nmod:poss(logic-43, cardinal-41) case(cardinal-41, 's-42) nmod:of(criticism-38, logic-43)  "
"For the first time , an accrediting agency is criticizing the ethnic composition of a college 's graduating class , as well as making specific complaints about the racial makeup of its faculty and staff .","For/IN the/DT first/JJ time/NN ,/, an/DT accrediting/VBG agency/NN is/VBZ criticizing/VBG the/DT ethnic/JJ composition/NN of/IN a/DT college/NN 's/POS graduating/VBG class/NN ,/, as/RB well/RB as/IN making/VBG specific/JJ complaints/NNS about/IN the/DT racial/JJ makeup/NN of/IN its/PRP$ faculty/NN and/CC staff/NN ./.","case(time-4, For-1) det(time-4, the-2) amod(time-4, first-3) nmod:for(criticizing-10, time-4) det(agency-8, an-6) amod(agency-8, accrediting-7) nsubj(criticizing-10, agency-8) aux(criticizing-10, is-9) root(ROOT-0, criticizing-10) det(composition-13, the-11) amod(composition-13, ethnic-12) dobj(criticizing-10, composition-13) case(class-19, of-14) det(college-16, a-15) nmod:poss(class-19, college-16) case(college-16, 's-17) amod(class-19, graduating-18) nmod:of(composition-13, class-19) cc(class-19, as-21) mwe(as-21, well-22) mwe(as-21, as-23) amod(complaints-26, making-24) amod(complaints-26, specific-25) nmod:of(composition-13, complaints-26) conj:and(class-19, complaints-26) case(makeup-30, about-27) det(makeup-30, the-28) amod(makeup-30, racial-29) nmod:about(complaints-26, makeup-30) case(faculty-33, of-31) nmod:poss(faculty-33, its-32) nmod:of(makeup-30, faculty-33) cc(faculty-33, and-34) nmod:of(makeup-30, staff-35) conj:and(faculty-33, staff-35)  "
"With Arnold and Eliot , as with Levinson and Ross , criticizing the Romantics for their ignorance in contrast to some stable principle of knowledge is inseparable from a desire to serve culture by proposing normative ethical and political values .","With/IN Arnold/NNP and/CC Eliot/NNP ,/, as/IN with/IN Levinson/NNP and/CC Ross/NNP ,/, criticizing/VBG the/DT Romantics/NNPS for/IN their/PRP$ ignorance/NN in/IN contrast/NN to/TO some/DT stable/JJ principle/NN of/IN knowledge/NN is/VBZ inseparable/JJ from/IN a/DT desire/NN to/TO serve/VB culture/NN by/IN proposing/VBG normative/JJ ethical/JJ and/CC political/JJ values/NNS ./.","case(Arnold-2, With-1) nmod:with(inseparable-27, Arnold-2) cc(Arnold-2, and-3) conj:and(Arnold-2, Eliot-4) nmod:with(inseparable-27, Eliot-4) case(Levinson-8, as-6) case(Levinson-8, with-7) nmod:with(inseparable-27, Levinson-8) cc(Levinson-8, and-9) conj:and(Levinson-8, Ross-10) nmod:with(inseparable-27, Ross-10) csubj(inseparable-27, criticizing-12) det(Romantics-14, the-13) dobj(criticizing-12, Romantics-14) case(ignorance-17, for-15) nmod:poss(ignorance-17, their-16) nmod:for(criticizing-12, ignorance-17) case(contrast-19, in-18) nmod:in(ignorance-17, contrast-19) case(principle-23, to-20) det(principle-23, some-21) amod(principle-23, stable-22) nmod:to(criticizing-12, principle-23) case(knowledge-25, of-24) nmod:of(principle-23, knowledge-25) cop(inseparable-27, is-26) root(ROOT-0, inseparable-27) case(desire-30, from-28) det(desire-30, a-29) nmod:from(inseparable-27, desire-30) mark(serve-32, to-31) xcomp(inseparable-27, serve-32) dobj(serve-32, culture-33) mark(proposing-35, by-34) advcl(serve-32, proposing-35) amod(ethical-37, normative-36) dobj(proposing-35, ethical-37) cc(ethical-37, and-38) amod(values-40, political-39) dobj(proposing-35, values-40) conj:and(ethical-37, values-40)  "
"Although philosophers who offer Scope and Side-Effect criticisms of the free enterprise system sometimes do not conceive of themselves as criticizing the economic system per se , their criticisms can be conceived of in this way because they are directed at the property rights that define that system .","Although/IN philosophers/NNS who/WP offer/VBP Scope/NNP and/CC Side-Effect/NNP criticisms/NNS of/IN the/DT free/JJ enterprise/NN system/NN sometimes/RB do/VBP not/RB conceive/VB of/IN themselves/PRP as/IN criticizing/VBG the/DT economic/JJ system/NN per/FW se/FW ,/, their/PRP$ criticisms/NNS can/MD be/VB conceived/VBN of/IN in/IN this/DT way/NN because/IN they/PRP are/VBP directed/VBN at/IN the/DT property/NN rights/NNS that/WDT define/VB that/DT system/NN ./.","mark(conceive-17, Although-1) nsubj(offer-4, philosophers-2) nsubj(conceive-17, philosophers-2) ref(philosophers-2, who-3) acl:relcl(philosophers-2, offer-4) compound(criticisms-8, Scope-5) cc(Scope-5, and-6) conj:and(Scope-5, Side-Effect-7) compound(criticisms-8, Side-Effect-7) dobj(offer-4, criticisms-8) case(system-13, of-9) det(system-13, the-10) amod(system-13, free-11) compound(system-13, enterprise-12) nmod:of(criticisms-8, system-13) advmod(conceive-17, sometimes-14) aux(conceive-17, do-15) neg(conceive-17, not-16) advcl(conceived-32, conceive-17) case(themselves-19, of-18) nmod:of(conceive-17, themselves-19) mark(criticizing-21, as-20) advcl(conceive-17, criticizing-21) det(system-24, the-22) amod(system-24, economic-23) dobj(criticizing-21, system-24) compound(se-26, per-25) advmod(criticizing-21, se-26) nmod:poss(criticisms-29, their-28) nsubjpass(conceived-32, criticisms-29) aux(conceived-32, can-30) auxpass(conceived-32, be-31) root(ROOT-0, conceived-32) case(way-36, of-33) case(way-36, in-34) det(way-36, this-35) nmod:in(conceived-32, way-36) mark(directed-40, because-37) nsubjpass(directed-40, they-38) auxpass(directed-40, are-39) advcl(conceived-32, directed-40) case(rights-44, at-41) det(rights-44, the-42) compound(rights-44, property-43) nmod:at(directed-40, rights-44) nsubj(define-46, rights-44) ref(rights-44, that-45) acl:relcl(rights-44, define-46) det(system-48, that-47) dobj(define-46, system-48)  "
"Philosophers , like economists , have not thought through alternatives to the economic system they are criticizing .","Philosophers/NNS ,/, like/IN economists/NNS ,/, have/VBP not/RB thought/VBN through/IN alternatives/NNS to/TO the/DT economic/JJ system/NN they/PRP are/VBP criticizing/VBG ./.","nsubj(thought-8, Philosophers-1) case(economists-4, like-3) nmod:like(thought-8, economists-4) aux(thought-8, have-6) neg(thought-8, not-7) dep(criticizing-17, thought-8) case(alternatives-10, through-9) nmod:through(thought-8, alternatives-10) case(system-14, to-11) det(system-14, the-12) amod(system-14, economic-13) nmod:to(thought-8, system-14) nsubj(criticizing-17, they-15) aux(criticizing-17, are-16) root(ROOT-0, criticizing-17)  "
"The prompter then initiated the interaction by either actively criticizing , or behaving in a way which invited criticism .","The/DT prompter/NN then/RB initiated/VBD the/DT interaction/NN by/IN either/CC actively/RB criticizing/VBG ,/, or/CC behaving/VBG in/IN a/DT way/NN which/WDT invited/VBD criticism/NN ./.","det(prompter-2, The-1) nsubj(initiated-4, prompter-2) advmod(initiated-4, then-3) root(ROOT-0, initiated-4) det(interaction-6, the-5) dobj(initiated-4, interaction-6) mark(criticizing-10, by-7) cc:preconj(criticizing-10, either-8) advmod(criticizing-10, actively-9) advcl(initiated-4, criticizing-10) cc(criticizing-10, or-12) advcl(initiated-4, behaving-13) conj:or(criticizing-10, behaving-13) case(way-16, in-14) det(way-16, a-15) nmod:in(behaving-13, way-16) nsubj(invited-18, way-16) ref(way-16, which-17) acl:relcl(way-16, invited-18) dobj(invited-18, criticism-19)  "
and criticizing that can be identified by others listening to the conversation ?,and/CC criticizing/VBG that/DT can/MD be/VB identified/VBN by/IN others/NNS listening/VBG to/TO the/DT conversation/NN ?/.,"cc(identified-6, and-1) csubjpass(identified-6, criticizing-2) dobj(criticizing-2, that-3) aux(identified-6, can-4) auxpass(identified-6, be-5) root(ROOT-0, identified-6) case(others-8, by-7) nmod:by(identified-6, others-8) acl(others-8, listening-9) case(conversation-12, to-10) det(conversation-12, the-11) nmod:to(listening-9, conversation-12)  "
