sent,tags,parse
"The music and the singing held us ; the dancing held us ; we could marvel at the religious dedication , "" he writes of a religious crusade . ""","The/DT music/NN and/CC the/DT singing/NN held/VBD us/PRP ;/: the/DT dancing/NN held/VBD us/PRP ;/: we/PRP could/MD marvel/VB at/IN the/DT religious/JJ dedication/NN ,/, ''/'' he/PRP writes/VBZ of/IN a/DT religious/JJ crusade/NN ./. ''/''","det(music-2, The-1) nsubj(held-6, music-2) cc(music-2, and-3) det(singing-5, the-4) conj:and(music-2, singing-5) nsubj(held-6, singing-5) root(ROOT-0, held-6) dobj(held-6, us-7) det(dancing-10, the-9) nsubj(held-11, dancing-10) parataxis(held-6, held-11) dobj(held-11, us-12) nsubj(marvel-16, we-14) aux(marvel-16, could-15) parataxis(held-6, marvel-16) case(dedication-20, at-17) det(dedication-20, the-18) amod(dedication-20, religious-19) nmod:at(marvel-16, dedication-20) nsubj(writes-24, he-23) parataxis(held-6, writes-24) case(crusade-28, of-25) det(crusade-28, a-26) amod(crusade-28, religious-27) nmod:of(writes-24, crusade-28)  "
And so it was with -- old-relief that I put an end to my pleasure in the singing and dancing .,And/CC so/RB it/PRP was/VBD with/IN --/: old-relief/NN that/IN I/PRP put/VBD an/DT end/NN to/TO my/PRP$ pleasure/NN in/IN the/DT singing/NN and/CC dancing/NN ./.,"cc(old-relief-7, And-1) advmod(old-relief-7, so-2) nsubj(old-relief-7, it-3) cop(old-relief-7, was-4) case(old-relief-7, with-5) root(ROOT-0, old-relief-7) mark(put-10, that-8) nsubj(put-10, I-9) dep(old-relief-7, put-10) det(end-12, an-11) dobj(put-10, end-12) case(pleasure-15, to-13) nmod:poss(pleasure-15, my-14) nmod:to(put-10, pleasure-15) case(singing-18, in-16) det(singing-18, the-17) nmod:in(put-10, singing-18) cc(singing-18, and-19) nmod:in(put-10, dancing-20) conj:and(singing-18, dancing-20)  "
Masked dancing figures and figures in a trance point to the persistence of this religion of early peoples .,Masked/JJ dancing/NN figures/NNS and/CC figures/NNS in/IN a/DT trance/NN point/VBP to/TO the/DT persistence/NN of/IN this/DT religion/NN of/IN early/JJ peoples/NNS ./.,"amod(figures-3, Masked-1) compound(figures-3, dancing-2) nsubj(point-9, figures-3) cc(figures-3, and-4) conj:and(figures-3, figures-5) nsubj(point-9, figures-5) case(trance-8, in-6) det(trance-8, a-7) nmod:in(figures-3, trance-8) root(ROOT-0, point-9) case(persistence-12, to-10) det(persistence-12, the-11) nmod:to(point-9, persistence-12) case(religion-15, of-13) det(religion-15, this-14) nmod:of(persistence-12, religion-15) case(peoples-18, of-16) amod(peoples-18, early-17) nmod:of(religion-15, peoples-18)  "
"<p> Cross-culturally there are four universal healing salves : singing , dancing , storytelling , and silence .","<p>/NNP Cross-culturally/NNP there/RB are/VBP four/CD universal/JJ healing/NN salves/NNS :/: singing/NN ,/, dancing/NN ,/, storytelling/NN ,/, and/CC silence/NN ./.","compound(Cross-culturally-2, <p>-1) nsubj(salves-8, Cross-culturally-2) advmod(salves-8, there-3) cop(salves-8, are-4) nummod(salves-8, four-5) amod(salves-8, universal-6) compound(salves-8, healing-7) root(ROOT-0, salves-8) dep(salves-8, singing-10) dep(salves-8, dancing-12) conj:and(singing-10, dancing-12) dep(salves-8, storytelling-14) conj:and(singing-10, storytelling-14) cc(singing-10, and-16) dep(salves-8, silence-17) conj:and(singing-10, silence-17)  "
""" Where in my life did I stop dancing ? """,''/UH Where/WRB in/IN my/PRP$ life/NN did/VBD I/PRP stop/VB dancing/NN ?/. ''/'',"discourse(stop-8, ''-1) advmod(stop-8, Where-2) case(life-5, in-3) nmod:poss(life-5, my-4) nmod:in(Where-2, life-5) aux(stop-8, did-6) nsubj(stop-8, I-7) root(ROOT-0, stop-8) dobj(stop-8, dancing-9)  "
"Shamanic societies believe that when an individual stops singing , dancing , being enchanted by stories , or is uncomfortable with silence , the individual experiences soul loss and opens doors to disease and discomfort .","Shamanic/JJ societies/NNS believe/VBP that/IN when/WRB an/DT individual/NN stops/VBZ singing/VBG ,/, dancing/VBG ,/, being/VBG enchanted/VBN by/IN stories/NNS ,/, or/CC is/VBZ uncomfortable/JJ with/IN silence/NN ,/, the/DT individual/NN experiences/VBZ soul/NN loss/NN and/CC opens/VBZ doors/NNS to/TO disease/NN and/CC discomfort/NN ./.","amod(societies-2, Shamanic-1) nsubj(believe-3, societies-2) root(ROOT-0, believe-3) mark(experiences-26, that-4) advmod(stops-8, when-5) det(individual-7, an-6) nsubj(stops-8, individual-7) advcl(experiences-26, stops-8) ccomp(stops-8, singing-9) dep(singing-9, dancing-11) auxpass(enchanted-14, being-13) dep(singing-9, enchanted-14) case(stories-16, by-15) nmod:by(enchanted-14, stories-16) cc(enchanted-14, or-18) cop(uncomfortable-20, is-19) dep(singing-9, uncomfortable-20) conj:or(enchanted-14, uncomfortable-20) case(silence-22, with-21) nmod:with(singing-9, silence-22) det(individual-25, the-24) nsubj(experiences-26, individual-25) nsubj(opens-30, individual-25) ccomp(believe-3, experiences-26) compound(loss-28, soul-27) dobj(experiences-26, loss-28) cc(experiences-26, and-29) ccomp(believe-3, opens-30) conj:and(experiences-26, opens-30) dobj(opens-30, doors-31) case(disease-33, to-32) nmod:to(opens-30, disease-33) cc(disease-33, and-34) nmod:to(opens-30, discomfort-35) conj:and(disease-33, discomfort-35)  "
"The initiant sits inside and drums , interspersed with dancing in the cemetery , over a seven-day period .","The/DT initiant/NN sits/VBZ inside/NN and/CC drums/NNS ,/, interspersed/VBN with/IN dancing/VBG in/IN the/DT cemetery/NN ,/, over/IN a/DT seven-day/JJ period/NN ./.","det(initiant-2, The-1) nsubj(sits-3, initiant-2) root(ROOT-0, sits-3) dobj(sits-3, inside-4) cc(inside-4, and-5) dobj(sits-3, drums-6) conj:and(inside-4, drums-6) acl(inside-4, interspersed-8) mark(dancing-10, with-9) advcl(interspersed-8, dancing-10) case(cemetery-13, in-11) det(cemetery-13, the-12) nmod:in(dancing-10, cemetery-13) case(period-18, over-15) det(period-18, a-16) amod(period-18, seven-day-17) nmod:over(inside-4, period-18)  "
"Even when the work is something made outside the artist ( as distinguished from , say , singing and dancing ) , if it is really a work of art , there is no way that the artist can not be present in that work .","Even/RB when/WRB the/DT work/NN is/VBZ something/NN made/VBN outside/IN the/DT artist/NN -LRB-/-LRB- as/RB distinguished/JJ from/IN ,/, say/VB ,/, singing/VBG and/CC dancing/VBG -RRB-/-RRB- ,/, if/IN it/PRP is/VBZ really/RB a/DT work/NN of/IN art/NN ,/, there/EX is/VBZ no/DT way/NN that/IN the/DT artist/NN can/MD not/RB be/VB present/JJ in/IN that/DT work/NN ./.","advmod(something-6, Even-1) advmod(something-6, when-2) det(work-4, the-3) nsubj(something-6, work-4) cop(something-6, is-5) advcl(is-33, something-6) acl(something-6, made-7) case(artist-10, outside-8) det(artist-10, the-9) nmod:outside(made-7, artist-10) advmod(distinguished-13, as-12) dep(made-7, distinguished-13) case(singing-18, from-14) discourse(singing-18, say-16) advcl:from(distinguished-13, singing-18) cc(singing-18, and-19) advcl:from(distinguished-13, dancing-20) conj:and(singing-18, dancing-20) mark(work-28, if-23) nsubj(work-28, it-24) cop(work-28, is-25) advmod(work-28, really-26) det(work-28, a-27) advcl(is-33, work-28) case(art-30, of-29) nmod:of(work-28, art-30) expl(is-33, there-32) root(ROOT-0, is-33) neg(way-35, no-34) advmod(is-33, way-35) mark(present-42, that-36) det(artist-38, the-37) nsubj(present-42, artist-38) aux(present-42, can-39) neg(present-42, not-40) cop(present-42, be-41) ccomp(way-35, present-42) case(work-45, in-43) det(work-45, that-44) nmod:in(present-42, work-45)  "
"( n28 ) Baron de Tott 's memoirs describe the outbreak of "" war "" at Galata between Ottoman janissaries and naval troops equally enamored of a 13- or 14-year-old dancing boy.",-LRB-/-LRB- n28/NNP -RRB-/-RRB- Baron/NNP de/IN Tott/NNP 's/POS memoirs/NNS describe/VBP the/DT outbreak/NN of/IN ''/'' war/NN ''/'' at/IN Galata/NNP between/IN Ottoman/NNP janissaries/NNS and/CC naval/JJ troops/NNS equally/RB enamored/JJ of/IN a/DT 13/CD -/: or/CC 14-year-old/JJ dancing/NN boy/NN ./.,"compound(Baron-4, n28-2) nsubj(describe-9, Baron-4) case(memoirs-8, de-5) nmod:poss(memoirs-8, Tott-6) case(Tott-6, 's-7) nmod:de(Baron-4, memoirs-8) root(ROOT-0, describe-9) det(outbreak-11, the-10) dobj(describe-9, outbreak-11) case(war-14, of-12) nmod:of(outbreak-11, war-14) case(Galata-17, at-16) nmod:at(outbreak-11, Galata-17) case(janissaries-20, between-18) compound(janissaries-20, Ottoman-19) nmod:between(Galata-17, janissaries-20) cc(outbreak-11, and-21) amod(troops-23, naval-22) dobj(describe-9, troops-23) conj:and(outbreak-11, troops-23) advmod(enamored-25, equally-24) amod(troops-23, enamored-25) case(13-28, of-26) det(13-28, a-27) nmod:of(troops-23, 13-28) cc(outbreak-11, or-30) amod(boy-33, 14-year-old-31) compound(boy-33, dancing-32) dobj(describe-9, boy-33) conj:or(outbreak-11, boy-33)  "
"<p> HOMOSEXUALITY AND OTTOMAN MILITARY SOCIETY <p> A number of the European accounts and other sources previously referred to have emphasized homosexual practices as an aspect of or , indeed , as originating with , Arab or Muslim conquering elites and military or slave societies Thus , boys accompanied Moroccan armies to provide sexual services ; ( n84 ) "" the militarization of the highest social classes contributed to a pattern of homosexual relations with its stress on masculine society "" ; ( n85 ) rivalry among Ottoman troops for the favors of a dancing boy resulted in rioting ; ( n86 ) and the "" cult "" of male youths was a "" privilege "" of "" warlike conquerors . ""","<p>/NNP HOMOSEXUALITY/NNP AND/CC OTTOMAN/NNP MILITARY/NNP SOCIETY/NNP <p>/VBP A/DT number/NN of/IN the/DT European/JJ accounts/NNS and/CC other/JJ sources/NNS previously/RB referred/VBD to/TO have/VB emphasized/VBN homosexual/JJ practices/NNS as/IN an/DT aspect/NN of/IN or/CC ,/, indeed/RB ,/, as/IN originating/NNP with/IN ,/, Arab/JJ or/CC Muslim/JJ conquering/NN elites/NNS and/CC military/NN or/CC slave/NN societies/NNS Thus/RB ,/, boys/NNS accompanied/VBN Moroccan/JJ armies/NNS to/TO provide/VB sexual/JJ services/NNS ;/: -LRB-/-LRB- n84/NNP -RRB-/-RRB- ''/'' the/DT militarization/NN of/IN the/DT highest/JJS social/JJ classes/NNS contributed/VBN to/TO a/DT pattern/NN of/IN homosexual/JJ relations/NNS with/IN its/PRP$ stress/NN on/IN masculine/JJ society/NN ''/'' ;/: -LRB-/-LRB- n85/JJ -RRB-/-RRB- rivalry/NN among/IN Ottoman/NNP troops/NNS for/IN the/DT favors/NNS of/IN a/DT dancing/NN boy/NN resulted/VBN in/IN rioting/NN ;/: -LRB-/-LRB- n86/NNP -RRB-/-RRB- and/CC the/NN ''/'' cult/NN ''/'' of/IN male/JJ youths/NNS was/VBD a/NNP ''/'' privilege/NNP ''/'' of/IN ''/'' warlike/JJ conquerors/NNS ./. ''/''","compound(HOMOSEXUALITY-2, <p>-1) nsubj(<p>-7, HOMOSEXUALITY-2) cc(HOMOSEXUALITY-2, AND-3) compound(SOCIETY-6, OTTOMAN-4) compound(SOCIETY-6, MILITARY-5) conj:and(HOMOSEXUALITY-2, SOCIETY-6) nsubj(<p>-7, SOCIETY-6) root(ROOT-0, <p>-7) det(number-9, A-8) dobj(<p>-7, number-9) case(accounts-13, of-10) det(accounts-13, the-11) amod(accounts-13, European-12) nmod:of(number-9, accounts-13) cc(<p>-7, and-14) amod(sources-16, other-15) nsubj(referred-18, sources-16) nsubj(emphasized-21, sources-16) advmod(referred-18, previously-17) conj:and(<p>-7, referred-18) mark(emphasized-21, to-19) aux(emphasized-21, have-20) xcomp(referred-18, emphasized-21) amod(practices-23, homosexual-22) dobj(emphasized-21, practices-23) case(aspect-26, as-24) det(aspect-26, an-25) nmod:as(emphasized-21, aspect-26) acl(aspect-26, of-27) cc(referred-18, or-28) conj:and(<p>-7, indeed-30) conj:or(referred-18, indeed-30) mark(privilege-115, as-32) nsubj(privilege-115, originating-33) case(boys-48, with-34) amod(elites-40, Arab-36) cc(Arab-36, or-37) conj:or(Arab-36, Muslim-38) amod(elites-40, Muslim-38) compound(elites-40, conquering-39) nmod:npmod(Thus-46, elites-40) cc(elites-40, and-41) compound(societies-45, military-42) cc(military-42, or-43) conj:or(military-42, slave-44) compound(societies-45, slave-44) conj:and(elites-40, societies-45) nmod:npmod(Thus-46, societies-45) advmod(boys-48, Thus-46) nmod:with(originating-33, boys-48) acl(boys-48, accompanied-49) amod(armies-51, Moroccan-50) dobj(accompanied-49, armies-51) mark(provide-53, to-52) acl(armies-51, provide-53) amod(services-55, sexual-54) iobj(provide-53, services-55) appos(services-55, n84-58) det(militarization-62, the-61) dobj(provide-53, militarization-62) case(classes-67, of-63) det(classes-67, the-64) amod(classes-67, highest-65) amod(classes-67, social-66) nmod:of(militarization-62, classes-67) acl(classes-67, contributed-68) case(pattern-71, to-69) det(pattern-71, a-70) nmod:to(contributed-68, pattern-71) case(relations-74, of-72) amod(relations-74, homosexual-73) nmod:of(pattern-71, relations-74) case(stress-77, with-75) nmod:poss(stress-77, its-76) nmod:with(contributed-68, stress-77) case(society-80, on-78) amod(society-80, masculine-79) nmod:on(stress-77, society-80) amod(rivalry-86, n85-84) dep(society-80, rivalry-86) case(troops-89, among-87) compound(troops-89, Ottoman-88) nmod:among(rivalry-86, troops-89) case(favors-92, for-90) det(favors-92, the-91) nmod:for(troops-89, favors-92) case(boy-96, of-93) det(boy-96, a-94) compound(boy-96, dancing-95) nmod:of(favors-92, boy-96) acl(boy-96, resulted-97) case(rioting-99, in-98) nmod:in(resulted-97, rioting-99) appos(armies-51, n86-102) cc(armies-51, and-104) compound(cult-107, the-105) dobj(accompanied-49, cult-107) conj:and(armies-51, cult-107) case(youths-111, of-109) amod(youths-111, male-110) nmod:of(cult-107, youths-111) cop(privilege-115, was-112) compound(privilege-115, a-113) advcl(indeed-30, privilege-115) case(conquerors-120, of-117) amod(conquerors-120, warlike-119) nmod:of(privilege-115, conquerors-120)  "
