,VP-ing,DET-ing,DET-of-ing,Poss-ing,Poss-of-ing,Total
compound,0.3405511811023622,0.28125,0.13333333333333333,0.13513513513513514,0.0,0.26273458445040215
subject,0.0688976377952756,0.265625,0.13333333333333333,0.1891891891891892,0.25,0.08176943699731903
object,0.12598425196850394,0.15625,0.13333333333333333,0.13513513513513514,0.5,0.10991957104557641
adjectival modifier,0.00984251968503937,0.0,0.0,0.0,0.0,0.006702412868632708
preps,0.2047244094488189,0.453125,0.6,0.5945945945945946,0.25,0.21045576407506703
['as'],0.0,0.015625,0.06666666666666667,0.0,0.0,0.0013404825737265416
['toward'],0.003937007874015748,0.0,0.0,0.0,0.0,0.002680965147453083
['such_as'],0.005905511811023622,0.0,0.0,0.0,0.0,0.004021447721179625
['in'],0.04133858267716536,0.0625,0.06666666666666667,0.13513513513513514,0.0,0.040214477211796246
['from'],0.005905511811023622,0.0,0.0,0.02702702702702703,0.0,0.005361930294906166
['but'],0.0,0.015625,0.0,0.0,0.0,0.0013404825737265416
['at'],0.001968503937007874,0.0,0.0,0.0,0.0,0.0013404825737265416
['on'],0.003937007874015748,0.0,0.0,0.02702702702702703,0.0,0.004021447721179625
['over'],0.0,0.0,0.0,0.02702702702702703,0.0,0.0013404825737265416
['between'],0.003937007874015748,0.03125,0.0,0.0,0.0,0.005361930294906166
['rather_than'],0.001968503937007874,0.0,0.0,0.0,0.0,0.0013404825737265416
['during'],0.003937007874015748,0.015625,0.0,0.0,0.0,0.004021447721179625
['while'],0.001968503937007874,0.0,0.0,0.0,0.0,0.0013404825737265416
['by_means_of'],0.001968503937007874,0.0,0.0,0.0,0.0,0.0013404825737265416
['including'],0.003937007874015748,0.0,0.0,0.0,0.0,0.002680965147453083
['within'],0.0,0.015625,0.0,0.0,0.0,0.0013404825737265416
['in_addition_to'],0.001968503937007874,0.0,0.0,0.0,0.0,0.0013404825737265416
['like'],0.001968503937007874,0.0,0.0,0.02702702702702703,0.0,0.002680965147453083
['about'],0.001968503937007874,0.015625,0.0,0.05405405405405406,0.0,0.005361930294906166
['above'],0.0,0.015625,0.0,0.0,0.0,0.0013404825737265416
['through'],0.007874015748031496,0.015625,0.06666666666666667,0.0,0.0,0.006702412868632708
['of'],0.0610236220472441,0.09375,0.06666666666666667,0.05405405405405406,0.25,0.05361930294906166
['for'],0.01968503937007874,0.015625,0.0,0.08108108108108109,0.0,0.01876675603217158
['to'],0.00984251968503937,0.0625,0.13333333333333333,0.08108108108108109,0.0,0.01742627345844504
['throughout'],0.0,0.0,0.0,0.02702702702702703,0.0,0.0013404825737265416
['with'],0.013779527559055118,0.0625,0.2,0.02702702702702703,0.0,0.0160857908847185
['by'],0.005905511811023622,0.015625,0.0,0.02702702702702703,0.0,0.006702412868632708
Total,0.6809651474530831,0.08579088471849866,0.020107238605898123,0.049597855227882036,0.005361930294906166,0.8820375335120645
