,VP-ing,DET-ing,DET-of-ing,Poss-ing,Poss-of-ing,Total
compound,0.4652711703139867,0.32,0.0,0.20454545454545456,0.0,0.3742732558139535
subject,0.15128449096098953,0.2,0.16666666666666666,0.1590909090909091,0.0,0.12790697674418605
object,0.13986679352997144,0.14,0.3333333333333333,0.36363636363636365,0.0,0.12427325581395349
adjectival modifier,0.049476688867745006,0.0,0.0,0.0,0.0,0.038517441860465115
preps,0.30637488106565175,0.56,0.5,0.4318181818181818,0.0,0.2710755813953488
['as'],0.0028544243577545195,0.02,0.0,0.0,0.0,0.0029069767441860465
['such_as'],0.0009514747859181732,0.0,0.0,0.0,0.0,0.0014534883720930232
['based_on'],0.0009514747859181732,0.0,0.0,0.0,0.0,0.0007267441860465116
['in'],0.07897240723120837,0.04,0.0,0.045454545454545456,0.0,0.06322674418604651
['in_lieu_of'],0.0009514747859181732,0.0,0.0,0.0,0.0,0.0007267441860465116
['from'],0.006660323501427212,0.02,0.0,0.022727272727272728,0.0,0.006540697674418605
['npmod'],0.0009514747859181732,0.02,0.0,0.022727272727272728,0.0,0.002180232558139535
['at'],0.0009514747859181732,0.0,0.0,0.0,0.0,0.0007267441860465116
['regarding'],0.0009514747859181732,0.0,0.0,0.0,0.0,0.0007267441860465116
['on'],0.02759276879162702,0.06,0.16666666666666666,0.022727272727272728,0.0,0.023982558139534885
['over'],0.003805899143672693,0.0,0.0,0.022727272727272728,0.0,0.003633720930232558
['between'],0.008563273073263558,0.0,0.0,0.022727272727272728,0.0,0.007267441860465116
['into'],0.0009514747859181732,0.0,0.0,0.0,0.0,0.0007267441860465116
['except'],0.0009514747859181732,0.0,0.0,0.0,0.0,0.0007267441860465116
['upon'],0.0009514747859181732,0.0,0.0,0.0,0.0,0.0007267441860465116
['including'],0.0009514747859181732,0.0,0.0,0.0,0.0,0.0007267441860465116
['per'],0.005708848715509039,0.0,0.0,0.0,0.0,0.00436046511627907
['around'],0.0009514747859181732,0.0,0.0,0.0,0.0,0.0007267441860465116
['about'],0.0009514747859181732,0.0,0.0,0.0,0.0,0.0007267441860465116
['than'],0.0009514747859181732,0.0,0.0,0.022727272727272728,0.0,0.0014534883720930232
['through'],0.003805899143672693,0.02,0.16666666666666666,0.0,0.0,0.003633720930232558
['of'],0.09990485252140818,0.36,0.16666666666666666,0.22727272727272727,0.0,0.09883720930232558
['for'],0.023786869647954328,0.0,0.0,0.0,0.0,0.018168604651162792
['to'],0.017126546146527116,0.0,0.0,0.022727272727272728,0.0,0.013808139534883721
['with'],0.005708848715509039,0.0,0.0,0.0,0.0,0.00436046511627907
['by'],0.009514747859181731,0.02,0.0,0.0,0.0,0.007994186046511628
Total,0.7638081395348837,0.036337209302325583,0.00436046511627907,0.03197674418604651,0.0,1.207122093023256
