,VP-ing,DET-ing,DET-of-ing,Poss-ing,Poss-of-ing,Total
compound,0.417420814479638,0.2215568862275449,0.1875,0.2631578947368421,0.0,0.346815834767642
subject,0.13122171945701358,0.281437125748503,0.1875,0.3157894736842105,0.5,0.132960413080895
object,0.083710407239819,0.1377245508982036,0.25,0.10526315789473684,0.0,0.08562822719449226
adjectival modifier,0.031108597285067874,0.0,0.0,0.0,0.0,0.023666092943201378
preps,0.40497737556561086,0.5329341317365269,0.4791666666666667,0.5263157894736842,0.5,0.41437177280550774
['as'],0.0011312217194570137,0.017964071856287425,0.0,0.0,0.0,0.0021514629948364886
['toward'],0.0022624434389140274,0.0,0.0,0.0,0.0,0.0030120481927710845
['such_as'],0.003393665158371041,0.0,0.0,0.0,0.0,0.0034423407917383822
['away_from'],0.0005656108597285068,0.0,0.0,0.0,0.0,0.0004302925989672978
['throughout'],0.0005656108597285068,0.0,0.0,0.0,0.0,0.0004302925989672978
['without'],0.002828054298642534,0.0,0.0,0.0,0.0,0.0025817555938037868
['following'],0.0005656108597285068,0.005988023952095809,0.0,0.0,0.0,0.0008605851979345956
in,0.0005656108597285068,0.0,0.0,0.0,0.0,0.0004302925989672978
['upon'],0.0005656108597285068,0.0,0.0,0.0,0.0,0.0004302925989672978
['prior_to'],0.0005656108597285068,0.0,0.0,0.0,0.0,0.0004302925989672978
['rather'],0.0,0.0,0.0,0.0,0.0,0.0
['such'],0.0005656108597285068,0.0,0.0,0.0,0.0,0.0008605851979345956
['although'],0.0,0.0,0.0,0.0,0.0,0.0
['after'],0.004524886877828055,0.017964071856287425,0.0,0.0,0.0,0.0051635111876075735
['based_on'],0.0011312217194570137,0.0,0.0,0.0,0.0,0.0008605851979345956
['in'],0.035633484162895926,0.0658682634730539,0.10416666666666667,0.10526315789473684,0.0,0.0391566265060241
['against'],0.0005656108597285068,0.0,0.0,0.0,0.0,0.0004302925989672978
['from'],0.00904977375565611,0.023952095808383235,0.041666666666666664,0.0,0.0,0.009896729776247849
['above'],0.0,0.0,0.0,0.0,0.0,0.0004302925989672978
['at'],0.0011312217194570137,0.017964071856287425,0.0,0.0,0.0,0.0021514629948364886
['regarding'],0.0011312217194570137,0.0,0.0,0.0,0.0,0.0008605851979345956
['via'],0.0005656108597285068,0.0,0.0,0.0,0.0,0.0004302925989672978
['on'],0.02828054298642534,0.029940119760479042,0.020833333333333332,0.15789473684210525,0.0,0.027538726333907058
['over'],0.0011312217194570137,0.005988023952095809,0.020833333333333332,0.0,0.0,0.0012908777969018934
['between'],0.0011312217194570137,0.017964071856287425,0.0,0.0,0.0,0.0021514629948364886
['into'],0.0011312217194570137,0.005988023952095809,0.020833333333333332,0.0,0.0,0.0012908777969018934
['beyond'],0.0005656108597285068,0.0,0.0,0.0,0.0,0.0004302925989672978
['except'],0.0005656108597285068,0.0,0.0,0.0,0.0,0.0004302925989672978
['despite'],0.0,0.005988023952095809,0.0,0.0,0.0,0.0004302925989672978
['according_to'],0.0005656108597285068,0.0,0.0,0.0,0.0,0.0004302925989672978
['during'],0.013009049773755657,0.029940119760479042,0.0,0.0,0.0,0.012908777969018933
['while'],0.0,0.0,0.0,0.0,0.0,0.0004302925989672978
['including'],0.004524886877828055,0.0,0.0,0.0,0.0,0.004302925989672977
['that'],0.0005656108597285068,0.0,0.0,0.0,0.0,0.0008605851979345956
of,0.0005656108597285068,0.0,0.0,0.0,0.0,0.0004302925989672978
['in_addition_to'],0.0,0.005988023952095809,0.0,0.0,0.0,0.0004302925989672978
['pending'],0.0005656108597285068,0.0,0.0,0.0,0.0,0.0004302925989672978
['followed_by'],0.0005656108597285068,0.0,0.0,0.0,0.0,0.0004302925989672978
['behind'],0.0005656108597285068,0.0,0.0,0.0,0.0,0.0004302925989672978
['about'],0.003959276018099547,0.005988023952095809,0.0,0.0,0.0,0.004302925989672977
['before'],0.003959276018099547,0.005988023952095809,0.0,0.0,0.0,0.0051635111876075735
['than'],0.0022624434389140274,0.005988023952095809,0.0,0.0,0.0,0.0025817555938037868
['through'],0.013009049773755657,0.0,0.0,0.05263157894736842,0.0,0.01161790017211704
['towards'],0.0022624434389140274,0.0,0.0,0.0,0.0,0.0017211703958691911
['concerning'],0.0011312217194570137,0.0,0.0,0.0,0.0,0.0008605851979345956
['of'],0.1170814479638009,0.11976047904191617,0.041666666666666664,0.21052631578947367,0.5,0.10843373493975904
['for'],0.0746606334841629,0.08982035928143713,0.1875,0.0,0.0,0.08218588640275387
['to'],0.03676470588235294,0.029940119760479042,0.020833333333333332,0.0,0.0,0.03356282271944923
['since'],0.0005656108597285068,0.0,0.0,0.0,0.0,0.0004302925989672978
['with'],0.013009049773755657,0.011976047904191617,0.020833333333333332,0.0,0.0,0.012478485370051634
['by'],0.013574660633484163,0.011976047904191617,0.0,0.0,0.0,0.015060240963855422
Total,0.7607573149741824,0.07185886402753873,0.020654044750430294,0.008175559380378658,0.0008605851979345956,1.410929432013768
