,VP-ing,of-ing,DET-ing,DET-of-ing,Poss-ing,Poss-of-ing
compound,0.362475442043222,0.26,0.23529411764705882,0.1875,0.2631578947368421,0.0
subject,0.11394891944990176,0.23,0.31932773109243695,0.1875,0.3157894736842105,0.5
object,0.07269155206286837,0.26,0.09243697478991597,0.25,0.10526315789473684,0.0
adjectival modifier,0.21218074656188604,0.51,0.31092436974789917,0.16666666666666666,0.3684210526315789,0.0
Adverbial Modifier,0.0343811394891945,0.01,0.0,0.0,0.0,0.0
['as'],0.0009823182711198428,0.0,0.025210084033613446,0.0,0.0,0.0
['toward'],0.0019646365422396855,0.03,0.0,0.0,0.0,0.0
['such_as'],0.0029469548133595285,0.02,0.0,0.0,0.0,0.0
['away_from'],0.0004911591355599214,0.0,0.0,0.0,0.0,0.0
['throughout'],0.0004911591355599214,0.0,0.0,0.0,0.0,0.0
['without'],0.002455795677799607,0.0,0.0,0.0,0.0,0.0
['following'],0.0004911591355599214,0.0,0.008403361344537815,0.0,0.0,0.0
['upon'],0.0004911591355599214,0.0,0.0,0.0,0.0,0.0
['prior_to'],0.0004911591355599214,0.0,0.0,0.0,0.0,0.0
['such'],0.0004911591355599214,0.0,0.0,0.0,0.0,0.0
['after'],0.00343811394891945,0.01,0.025210084033613446,0.0,0.0,0.0
['based_on'],0.0009823182711198428,0.0,0.0,0.0,0.0,0.0
['in'],0.027996070726915522,0.05,0.05042016806722689,0.10416666666666667,0.10526315789473684,0.0
['against'],0.0004911591355599214,0.0,0.0,0.0,0.0,0.0
['from'],0.0068762278978389,0.0,0.01680672268907563,0.041666666666666664,0.0,0.0
['above'],0.0,0.01,0.0,0.0,0.0,0.0
['at'],0.0009823182711198428,0.0,0.025210084033613446,0.0,0.0,0.0
['regarding'],0.0009823182711198428,0.0,0.0,0.0,0.0,0.0
['via'],0.0004911591355599214,0.0,0.0,0.0,0.0,0.0
['on'],0.023084479371316306,0.03,0.03361344537815126,0.020833333333333332,0.15789473684210525,0.0
['over'],0.0009823182711198428,0.0,0.0,0.020833333333333332,0.0,0.0
['between'],0.0009823182711198428,0.0,0.025210084033613446,0.0,0.0,0.0
['into'],0.0009823182711198428,0.0,0.0,0.020833333333333332,0.0,0.0
['except'],0.0004911591355599214,0.0,0.0,0.0,0.0,0.0
['despite'],0.0,0.0,0.008403361344537815,0.0,0.0,0.0
['according_to'],0.0004911591355599214,0.0,0.0,0.0,0.0,0.0
['during'],0.010805500982318271,0.02,0.04201680672268908,0.0,0.0,0.0
['including'],0.003929273084479371,0.02,0.0,0.0,0.0,0.0
['in_addition_to'],0.0,0.0,0.008403361344537815,0.0,0.0,0.0
['pending'],0.0004911591355599214,0.0,0.0,0.0,0.0,0.0
['followed_by'],0.0004911591355599214,0.0,0.0,0.0,0.0,0.0
['behind'],0.0004911591355599214,0.0,0.0,0.0,0.0,0.0
['about'],0.0029469548133595285,0.0,0.008403361344537815,0.0,0.0,0.0
['before'],0.00343811394891945,0.0,0.008403361344537815,0.0,0.0,0.0
['than'],0.0014734774066797642,0.01,0.008403361344537815,0.0,0.0,0.0
['through'],0.01031434184675835,0.02,0.0,0.0,0.05263157894736842,0.0
['towards'],0.0019646365422396855,0.0,0.0,0.0,0.0,0.0
['concerning'],0.0009823182711198428,0.0,0.0,0.0,0.0,0.0
['of'],0.08840864440078586,0.08,0.15126050420168066,0.041666666666666664,0.21052631578947367,0.5
['for'],0.05992141453831041,0.08,0.05042016806722689,0.1875,0.0,0.0
['to'],0.027996070726915522,0.02,0.03361344537815126,0.020833333333333332,0.0,0.0
['since'],0.0004911591355599214,0.0,0.0,0.0,0.0,0.0
['with'],0.01031434184675835,0.03,0.008403361344537815,0.020833333333333332,0.0,0.0
['by'],0.01031434184675835,0.01,0.01680672268907563,0.0,0.0,0.0
['in'] -adv,0.011787819253438114,0.0,0.0,0.0,0.0,0.0
['without'] -adv,0.0004911591355599214,0.0,0.0,0.0,0.0,0.0
['rather'] -adv,0.0004911591355599214,0.0,0.0,0.0,0.0,0.0
['such'] -adv,0.0004911591355599214,0.0,0.0,0.0,0.0,0.0
['although'] -adv,0.0004911591355599214,0.0,0.0,0.0,0.0,0.0
['after'] -adv,0.0014734774066797642,0.0,0.0,0.0,0.0,0.0
['from'] -adv,0.002455795677799607,0.0,0.0,0.0,0.0,0.0
['on'] -adv,0.0029469548133595285,0.0,0.0,0.0,0.0,0.0
['beyond'] -adv,0.0004911591355599214,0.0,0.0,0.0,0.0,0.0
['that'] -adv,0.0009823182711198428,0.0,0.0,0.0,0.0,0.0
['during'] -adv,0.0004911591355599214,0.0,0.0,0.0,0.0,0.0
['while'] -adv,0.0014734774066797642,0.0,0.0,0.0,0.0,0.0
['though'] -adv,0.0004911591355599214,0.0,0.0,0.0,0.0,0.0
['about'] -adv,0.0014734774066797642,0.0,0.0,0.0,0.0,0.0
['before'] -adv,0.0019646365422396855,0.0,0.0,0.0,0.0,0.0
['than'] -adv,0.0004911591355599214,0.0,0.0,0.0,0.0,0.0
['through'] -adv,0.0014734774066797642,0.0,0.0,0.0,0.0,0.0
['of'] -adv,0.02013752455795678,0.0,0.0,0.0,0.0,0.0
['for'] -adv,0.023575638506876228,0.0,0.0,0.0,0.0,0.0
['to'] -adv,0.0063850687622789785,0.01,0.0,0.0,0.0,0.0
['with'] -adv,0.0014734774066797642,0.0,0.0,0.0,0.0,0.0
['by'] -adv,0.005893909626719057,0.0,0.0,0.0,0.0,0.0
Total,0.8760757314974182,0.043029259896729774,0.05120481927710843,0.020654044750430294,0.008175559380378658,0.0008605851979345956
