,VP-ing,DET-ing,DET-of-ing,Poss-ing,Poss-of-ing,Total
compound,0.16666666666666666,0.0,0.0,0.0,0.0,0.058823529411764705
subject,0.0,1.0,1.0,0.0,0.0,0.11764705882352941
object,0.0,0.0,0.0,0.0,0.0,0.0
adjectival modifier,0.0,0.0,0.0,0.0,0.0,0.0
preps,0.5,0.0,0.0,0.0,0.0,0.47058823529411764
['that'],0.0,0.0,0.0,0.0,0.0,0.058823529411764705
['of'],0.0,0.0,0.0,0.0,0.0,0.058823529411764705
['such'],0.0,0.0,0.0,0.0,0.0,0.058823529411764705
['for'],0.16666666666666666,0.0,0.0,0.0,0.0,0.11764705882352941
['compared_with'],0.16666666666666666,0.0,0.0,0.0,0.0,0.058823529411764705
['to'],0.0,0.0,0.0,0.0,0.0,0.058823529411764705
['by'],0.16666666666666666,0.0,0.0,0.0,0.0,0.058823529411764705
Total,0.35294117647058826,0.058823529411764705,0.058823529411764705,0.0,0.0,1.1176470588235294
